,N1Bt,N2Bt,C2Bt,C1Bt,N3Bt,N2AB,C3Ae,C1AB,C2AB,N2Ae,N1AB,N3AB,C3AB,N1Ae,N3Ae,C2Ae,C1Ae,C2O,C1O,C3O,N1Ahe,C3Bt,N1O,N2O,N3O,N2Ahe
Acidobacteria_Acidobacteriales,1.744772891,1.537568901,1.055194805,0.548245614,2.268976898,1.508576152,0.927971719,3.121183336,2.166218321,1.423849479,2.355808286,4.651162791,4.680345939,4.676507104,4.556321192,1.348920863,0.831242158,2.6909879,1.724429417,2.384883508,7.093377667,3.751803752,7.063414634,5.462246239,1.821831095,2.044342067
Acidobacteria_Bryobacter,0.475847152,0.507687845,0.243506494,0.307017544,0.103135314,0.475304815,0.368242746,1.302754784,1.146821464,0.711924739,1.316003249,1.620405101,2.017975242,2.51069113,0.998453101,0.959232614,2.054579674,2.853530793,1.420118343,0.953953403,3.518980327,1.891935225,1.834146342,1.226814663,1.142504246,0.734235531
Acidobacteria_DA023,8.622927181,7.876414273,8.603896104,7.390350877,5.981848185,7.604877041,4.890263662,6.215225947,5.450941526,5.898804983,6.709991877,6.55663916,4.680345939,4.524762036,4.17662776,5.260791367,0.752823087,1.896333755,1.859678783,3.210420106,2.632308119,2.934102934,1.209756098,1.066160362,4.369306778,3.527209905
Acidobacteria_DA052,0.331651045,0.319118074,0.178571429,0.065789474,0.123762376,0.847282496,1.163647076,2.836205727,2.279484638,1.296720061,3.200649878,4.756189047,4.442937087,6.442267899,5.287582618,1.019184652,0.141154329,0.415387394,0.118343195,0.018345258,8.34026046,4.200737534,6.224390244,4.293851322,0.895476301,1.18053556
Acidobacteria_RB41,4.989185292,4.308093995,6.720779221,3.815789474,2.619636964,4.215747055,6.525261452,8.861446601,7.985275379,3.15280956,4.955320877,5.386346587,5.545192471,3.228031453,2.868794825,3.582134293,1.317440402,2.293660827,1.927303466,3.137039075,1.052923247,1.52316819,0.156097561,0.116839492,0.895476301,0.331125828
Acidobacteria_Holophagae,2.134102379,1.987235277,1.282467532,2.763157895,2.660891089,2.645174623,2.179997054,2.008413625,2.803341356,2.390033054,2.37205524,3.615903976,1.865355265,1.738170782,3.501617213,2.667865707,1.082183187,2.07693697,0.997464074,1.596037424,1.357716819,2.292768959,0.097560976,0.657222141,0.586691369,0.820616182
Other_Acidobacteria,5.796683489,5.860168262,5.438311688,3.026315789,5.156765676,7.253564786,5.00810134,8.780024427,7.971117089,5.441139079,5.735174655,6.121530383,6.308292352,4.759277142,5.259457179,4.676258993,1.913425345,3.79266751,2.755705833,2.880205467,3.629814353,4.168670835,2.282926829,2.015481233,6.345530338,3.181687302
Actinobacteria_Acidimicrobidae,2.018745494,2.364374819,2.418831169,3.048245614,2.702145214,1.653234139,1.66445721,1.072058624,1.444145547,1.652682431,1.49471974,1.140285071,1.678819739,1.31052559,1.307832935,3.522182254,1.474278545,1.047498645,1.57227388,1.761144744,0.775838182,2.148468815,1.346341463,1.44588871,2.501157943,2.346674345
Actinobacteria_Actinobacteridae,4.960346071,5.483028721,6.12012987,12.36842105,8.415841584,2.686505476,5.832965091,1.275614059,1.245929492,3.279938978,2.648253452,1.230307577,1.22095981,1.572630708,3.937561524,3.926858513,6.038268507,5.309734513,9.687235841,9.667950835,1.10834026,5.371172038,6.126829268,5.988023952,4.693530956,5.211632594
Actinobacteria_Rubrobacteridae,3.576063446,3.930954453,6.753246753,7.039473684,4.888613861,4.401735896,3.269995581,1.913421088,2.803341356,3.788456649,2.599512591,2.490622656,1.950144141,2.027865913,2.09534524,5.275779376,2.070263488,2.9438324,4.93660186,3.83415887,1.246882793,4.777938111,2.087804878,2.4828392,2.655550409,3.368845379
Other_Actinobacteria,2.14852199,2.567449957,3.587662338,5.043859649,4.249174917,1.797892126,1.031079688,0.719229203,0.906130539,0.661072972,0.926076361,1.27531883,0.66135323,0.482825217,0.928139502,0.569544365,0,0.072241286,0.016906171,0.201797835,0.360210585,0.593233927,0,0,0.216149452,0.187158077
Bacteroidetes_Flavobacteria_Flavobacteriales,2.14852199,0.62373078,0.081168831,0.065789474,0,0.12399256,0.01472971,0.040711087,0.042474869,1.067887109,0.503655565,0.090022506,0.067831101,1.213960546,0.52032063,0.089928058,0.690087829,0.108361929,0.202874049,0.311869382,0.166251039,0.096200096,0.03902439,0.146049365,2.593793423,1.310106536
Bacteroidetes_Sphingobacteria_Sphingobacteriales,2.768565249,1.755149405,1.331168831,1.030701754,1.051980198,1.735895846,1.340403594,2.483376306,2.803341356,3.178235444,2.193338749,2.745686422,4.137697134,3.255621465,1.870341724,4.121702638,8.422208281,6.899042803,7.658495351,12.27297744,1.357716819,3.479236813,3.219512195,4.615159924,8.04384746,7.500719839
Other_Bacteroidetes,0,0.087032202,0,0,0.103135314,0.041330853,0,0,0,0.050851767,0,0.075018755,0,0.041385019,0.028125439,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi_Anaerolineae,4.325883202,3.452277343,4.366883117,5.153508772,6.497524753,2.087208101,3.019590514,1.9812729,1.359195809,1.601830664,3.168155971,1.455363841,0.813973206,0.758725341,0.914076782,0.779376499,0.439146801,0.451508037,0.270498732,0.421940928,0.277085065,0.497033831,0.097560975,0.175259238,1.096186506,0.518283904
Other_Chloroflexi,3.590483057,3.36524514,4.090909091,4.254385965,3.217821784,2.169869809,1.69391663,1.777717465,1.543253575,1.14416476,1.67343623,1.29032258,0.52569103,0.579390261,1.209393898,2.383093525,0.627352572,0.776593823,0.726965341,1.596037424,0.221668052,0.384800384,0.448780487,0.350518475,0.910915547,0.331125828
Cyanobacteria,0.028839221,0.159559037,0.081168831,0.109649123,0.041254125,0.247985121,0.02945942,0.189985073,0.254849214,0.177981185,0.227457352,0.48012003,0.271324402,0.303490137,0.112501758,0.599520384,1.113550816,1.137800253,2.147083686,0.697119795,0.609587143,0.384800385,1.131707317,0.525777713,0.092635479,0.230348402
Gemmatimonadetes,3.66258111,3.118653902,2.5,4.057017544,2.207095709,5.992973755,3.40256297,3.55543493,3.454622682,3.279938978,2.875710804,2.745686422,3.103272851,2.345151055,3.262550977,4.436450839,2.101631117,3.612064295,5.967878276,4.953219593,0.692712663,1.972101972,0.117073171,0.452753031,2.377643971,1.554851713
Nitrospirae,1.095890411,2.422396287,0.746753247,1.359649123,2.578382838,2.025211821,2.312564443,0.963495725,1.132663174,1.296720061,1.104792851,1.140285071,1.000508733,0.482825217,1.096892139,0.674460432,0.094102886,0.144482572,0.050718512,0.440286186,0.526461624,0.368767035,0.117073171,0.087629619,0.679326849,0.359919378
Planctomycetes_Phycisphaerae,0.461427541,0.435161009,0.876623376,0.504385966,0.206270628,0.909278777,1.193106495,1.438458406,1.543253575,1.398423598,1.640942323,1.125281322,1.865355266,1.213960547,1.307832934,1.768585134,1.317440401,2.402022755,3.14454776,1.926252064,1.302299806,1.811768479,1.190243902,1.080765299,0.880037054,1.439677512
Planctomycetes_Planctomycetacia,2.307137707,2.654482159,2.905844156,1.97368421,1.567656766,2.831163464,3.299455001,3.9625458,4.799660201,3.991863717,4.142973193,3.720930232,4.765134814,5.793902607,2.995359302,4.601318945,4.030740276,4.099692975,4.209636518,1.504311135,6.539207537,4.922238256,4.8,2.833357675,5.604446503,4.031097035
Other_Planctomyctetes ,0.331651046,0.348128807,0.38961039,0.789473685,0.330033004,0.88861335,0.515539843,0.434251594,0.396432111,0.711924741,0.714865962,0.420105026,0.491775478,0.68975031,0.365630714,0.68944844,0.533249686,0.415387394,0.388841927,0.23848835,0.38791909,0.849767516,0.234146341,0.335913539,0.694766096,0.647854881
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales,6.935832732,6.628952713,6.623376623,4.122807017,4.166666666,6.612936557,7.688908529,5.238159859,5.74826561,6.890414442,7.457351747,7.006751688,6.545701204,7.780383501,8.254816481,7.748800959,8.861355082,6.014087051,6.120033812,6.824435883,6.206705459,9.139009139,8.507317073,7.85745582,9.356183418,9.127555428
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales,1.29776496,1.552074268,1.623376623,1.557017544,1.134488449,2.273196941,2.828104286,2.116976523,2.123743452,3.381642512,3.184402924,1.935483871,3.238935052,3.365981515,3.726620728,2.353117506,2.336888331,1.517067004,3.617920541,2.93524124,3.768356886,4.665704666,3.902439024,4.381480941,4.477381504,4.463000288
Other_Alphaproteobacteria,0.447007931,0.551203945,0.470779221,0.328947368,0.268151815,0.454639388,0.456621005,0.257836884,0.396432111,0.584795322,0.292445167,0.255063766,0.390028828,0.51041523,0.407818872,1.258992806,2.352572146,1.968575041,3.989856298,5.191707944,0.498753117,0.881834215,1.326829268,1.402073901,1.219700479,1.497264613
Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales,3.143475126,2.930084131,1.152597403,2.039473684,2.433993399,3.223806572,1.782294889,1.696295291,1.939685686,2.898550725,2.599512591,2.790697674,2.611497372,2.552076148,3.487554493,2.56294964,5.034504391,2.672927578,4.226542688,5.13667217,2.078137988,4.05643739,1.541463415,2.920987294,3.273120272,4.376619637
Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonadales,1.888968998,2.146794314,1.461038961,2.236842105,1.75330033,3.058483158,1.67918692,2.184828335,2.477700694,3.178235444,2.437043054,3.120780195,2.865863999,2.965926335,3.276613697,2.832733813,1.505646173,1.733790862,1.521555368,2.329847734,3.269603768,4.232804233,3.473170732,2.526654009,3.628222943,3.843938958
Bacteria_Proteobacteria_Betaproteobacteria_SC-I-84,1.94664744,2.596460691,1.850649351,2.697368421,1.650165016,2.376524075,1.6497275,1.465599132,1.968002265,2.923976608,1.770917953,2.130532633,1.475326437,1.434680646,3.164111939,1.723621103,1.23902133,0.704352537,0.405748098,0.972298661,0.831255195,1.699535033,0.175609756,0.613407332,2.146055273,1.957961417
Bacteria_Proteobacteria_Deltaproteobacteria_Desulfuromonadales,3.085796683,2.930084131,1.461038961,1.842105263,2.227722772,1.96321554,0.206215938,0.447821957,0.283165794,3.483346046,2.664500406,3.495873968,0.152619976,1.669195751,1.462522852,0.269784173,0,0,0,0,0.304793572,0.112233446,0,0,1.420410684,0.259141952
Bacteria_Proteobacteria_Deltaproteobacteria_GR-WP33-30,2.162941601,1.929213809,1.558441558,1.074561403,2.248349835,2.459185782,1.929591987,2.700502103,1.883052527,2.72056954,2.144597888,1.485371343,1.797524165,1.572630708,1.771902686,1.408872902,0.439146801,0.234784179,0.033812342,0.073381031,2.687725132,0.865800866,1.014634146,0.598802395,0.98811178,0.187158077
Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales,1.845710166,1.914708442,1.298701299,3.618421053,1.691419142,2.91382517,2.268375313,0.936355001,0.651281325,2.949402492,1.673436231,1.770442611,0.881804307,1.31052559,4.261004078,2.038369305,1.286072773,1.137800253,2.180896027,2.311502477,0.748129676,2.405002405,1.443902439,2.132320724,3.55102671,3.354448603
Other_Deltaproteobacteria,3.042537851,3.553814912,1.866883117,1.030701754,8.457095709,1.301921885,1.69391663,1.180621523,1.203454623,0.915331808,1.088545898,1.140285071,0.474817704,0.275900124,0.871888623,0.509592326,0.3293601,0.180603215,0.338123415,0.201797835,0.110834026,0.144300144,0.058536585,0.073024682,0.308784931,0.201554852
Proteobacteria_Epsilonproteobacteria,0,0.029010734,0.048701299,0,0,0,0,0,0,0.025425884,0,0.015003751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Gammaproteobacteria_Pseudomonadales,1.038211968,0.072526835,0.12987013,0.131578947,0.041254125,0.454639388,0.559728973,1.072058624,1.274246071,0.686498856,0.909829407,1.455363841,1.492284212,1.393295627,1.068766699,0.419664269,0.345043915,0.776593823,0.287404903,0.715465052,1.995012469,1.52316819,2.185365854,1.796407186,1.049868766,1.74200979
Proteobacteria_Gammaproteobacteria_Xanthomonadales,1.254506128,1.465042066,0.827922078,0.679824561,0.76320132,3.306468279,2.53351009,2.890487176,2.321959507,2.669717773,2.55077173,2.655663916,3.544175004,3.766036695,1.870341724,3.597122302,0.690087829,1.769911504,1.301775148,1.119060723,5.015239679,4.425204425,7.531707317,9.639258069,3.937007874,6.852864958
Other_Gammaproteobacteria,0.836337419,1.290977662,0.941558442,0.76754386,0.866336634,0.475304815,0.441891295,1.044917899,0.679597905,0.864480041,0.779853777,0.885221305,0.864846532,1.020830459,0.675010547,0.479616307,0.439146801,0.180603215,0.118343195,0.275178866,1.052923247,0.641333975,0.682926829,0.890901125,0.849158561,0.633458105
Other_Proteobacteria,0.360490267,0.174064404,0.243506494,0.307017544,0.165016502,0.371977681,0.515539844,0.610666305,0.311482373,0.35596237,0.503655565,0.48012003,0.59352213,0.482825217,0.492195191,0.539568345,0.376411543,0.361206429,0.540997464,0.458631444,0.63729565,0.881834215,0.526829268,1.022345553,0.895476301,0.705441981
Verrucomicrobia_Spartobacteria,0.360490267,1.247461561,1.363636364,0.219298246,0.783828383,1.859888407,2.710266608,4.030397612,3.766105055,3.610475464,1.982128351,2.895723931,1.933186366,3.172851428,3.389115455,2.982613909,1.066499373,1.119739931,1.284868977,0.807191341,3.435854808,2.340869008,1.717073171,0.481962903,1.57480315,0.878203282
Other_Verrucomicrobia,0.562364816,0.681752248,0.844155844,0.350877193,0.495049505,0.702624509,0.633377522,0.909214276,1.090188305,0.813628274,0.844841592,0.720180045,0.864846532,1.31052559,0.759386865,1.0941247,0.690087829,0.704352537,0.693153001,0.385250413,0.609587143,1.282667949,1.073170732,1.533518329,1.250578972,1.727613015
Other_Bacteria,3.403028118,4.757760371,4.204545455,2.390350877,3.465346535,5.001033271,2.857563706,5.685981816,4.261645193,4.830917874,5.215272136,5.041260315,4.799050365,4.593737067,2.60160315,4.226618705,3.089711418,3.630124616,3.634826712,3.063658044,3.131061236,2.757736091,1.580487805,2.512049073,3.689979929,4.016700259
Archaea_Crenarchaeota,0.014419611,0.029010734,0.032467532,0.021929825,0.082508251,0,0.01472971,0.162844348,0.070791448,0,0.032493907,0.075018755,0,0.041385019,0.056250879,0.01498801,0,0,0,0,0.027708507,0,0,0.014604936,0.015439247,0
Archaea_Euryarchaeota,0,0,0,0,0.041254125,0,0,0.027140725,0,0.076277651,0.064987815,0.060015004,0.016957775,0,0.028125439,0.074940048,0,0,0,0,0,0.016033349,0,0,0,0
Alveolata_Apicomplexa,0.129776496,0.058021468,0.016233766,0.021929825,0.020627063,0.103327134,0.088378259,0.013570362,0.070791448,0.635647089,0.162469537,0.135033758,0.288282177,0.151745068,0.126564478,0.194844125,0.345043915,0.830774788,0.338123415,0.825536599,0.08312552,0.24050024,0.214634146,0.408938221,0.308784931,0.345522603
