,CG13,CG7,CG19,CG8u,cow rumen,Wallaby,Termite
AA_1,0,0.037304623,0.002367637,0.007091049,0,0,0
AA_2,0.002071787,0.00047221,0.001420582,0,0,0,0
AA_3,0.000517947,0.019832838,0.000947055,0,4.28E-05,0,0.001060772
AA_5,0,0,0,0,0,0,0.001060772
AA_6,0,0.008499788,0.007576439,0.000506504,0,0,0
AA_7,0,0,0.000473527,0,0,0.001085034,0
CE_1,0,0.00047221,0.000947055,0.001013007,0.004623733,0.021700682,0.009546944
CE_2,0,0,0,0,0.000385311,0.004340136,0
CE_3,0,0,0,0,0.000128437,0,0
CE_4,0,0.009444208,0.005208802,0.007597553,0.001113121,0.010850341,0
CE_5,0,0,0.001420582,0,0,0,0
CE_6,0,0,0,0,0.001369995,0.006510205,0
CE_7,0,0,0.000473527,0,0.000856247,0.006510205,0.001060772
CE_8,0,0.001888842,0,0,0.001027496,0.005425171,0
CE_9,0.000517947,0.00047221,0.001420582,0.002532518,0.001755306,0.007595239,0.008486173
CE_10,0.001035894,0.007083156,0.00189411,0.003039021,0.000984684,0.005425171,0
CE_11,0.010358937,0.010388629,0.002841165,0.002532518,0.00273999,0.011935375,0.007425401
CE_12,0,0.00047221,0.000473527,0,0.001198746,0.014105444,0
CE_14,0.004143575,0,0.000473527,0.001013007,0.000684997,0,0.001060772
CE_15,0,0.00047221,0.000473527,0,0.001070309,0.004340136,0.003182315
GH_1,0,0.003305473,0.000947055,0,0.001412807,0.074867355,0.021215432
GH_2,0,0.012749681,0.008049967,0.000506504,0.013999636,0.134544231,0.056220895
GH_3,0.008805097,0.02313831,0.005208802,0.001013007,0.016910875,0.148649675,0.054099352
GH_4,0.000517947,0.002833263,0.004735274,0.000506504,0.002054992,0.003255102,0.03288392
GH_5,0,0.009916419,0,0.003545525,0.001584057,0.002170068,0.018033117
GH_5_1,0,0,0,0,0.000342499,0.002170068,0
GH_5_2,0,0.00047221,0.000473527,0,0.000128437,0.001085034,0.002121543
GH_5_4,0,0,0,0,0.001113121,0.002170068,0.012729259
GH_5_5,0,0.004722104,0,0,0,0,0
GH_5_7,0,0,0,0,0.00055656,0.005425171,0
GH_5_10,0,0,0,0,4.28E-05,0,0
GH_5_12,0,0,0,0,0,0,0.010607716
GH_5_13,0,0,0,0,4.28E-05,0,0
GH_5_19,0,0,0.000473527,0.001519511,0,0,0
GH_5_21,0,0,0,0,4.28E-05,0,0
GH_5_25,0,0.00047221,0.000473527,0,0,0,0
GH_5_26,0,0,0,0,0.000256874,0,0
GH_5_36,0,0,0,0,4.28E-05,0,0.001060772
GH_5_37,0,0,0,0,0.000813435,0.003255102,0
