"","25m_only","25m_75m","25m_110m","25m_500m","75m_only","75m_110m","75m_500m","110m_only","110m_500m","500m_only","25m_75m_110m","75m_110m_500m","25m_110m_500m","25m_75m_500m","25m_75m_110m_500m"
"None",0,2,0,2,0,0,0,0,0,0,0,0,0,0,4
"TCA-VARIANTS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
"Respiration",2,0,0,1,0,0,0,0,0,0,0,0,1,0,4
"Photosynthesis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Pentose-Phosphate-Cycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTHER-ENERGY",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"METHANOGENESIS",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hydrogen-Production",1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"GLYCOLYSIS-VARIANTS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Fermentation",0,2,0,0,0,0,0,0,0,1,0,0,0,4,4
"Electron-Transfer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMOAUTOTROPHIC-ENERGY-METABOLISM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Acetyl-CoA-Biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mercury-Detoxification",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanide-Detoxification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arsenate-Detoxification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antibiotic-Resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acid-Resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steroids-Degradation",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"SECONDARY-METABOLITE-DEGRADATION",4,3,0,0,0,0,0,0,0,2,0,0,0,2,1
"Protein-Degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Polymer-Degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other-Degradation",0,1,0,0,0,0,0,0,0,0,0,0,0,5,2
"Noncarbon-Nutrients",1,1,0,3,0,0,0,0,0,3,0,0,1,5,6
"NUCLEO-DEG",1,0,0,1,0,0,0,0,0,1,0,0,0,3,5
"HORMONE-DEG",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Fatty-Acid-and-Lipid-Degradation",0,1,0,0,0,0,0,1,0,0,0,0,0,4,2
"Carbohydrates-Degradation",5,2,0,0,0,0,0,1,0,2,0,0,0,3,12
"COFACTOR-DEGRADATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHLORINATED-COMPOUNDS-DEG",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"CARBOXYLATES-DEG",2,2,0,1,1,0,0,0,0,3,0,0,0,3,7
"C1-COMPOUNDS",1,1,0,0,0,0,0,0,0,2,0,0,0,1,10
"Amino-Acid-Degradation",8,6,0,0,0,0,0,0,0,2,1,0,1,11,18
"Aldehyde-Degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Methylglyoxal-Detoxification",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Alcohol-Degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"AROMATIC-COMPOUNDS-DEGRADATION",3,1,0,1,0,0,0,0,0,0,0,0,0,2,3
"AMINE-DEG",1,5,0,0,1,0,0,0,0,0,0,0,0,3,4
"Siderophores-Biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SECONDARY-METABOLITE-BIOSYNTHESIS",1,3,1,3,0,1,0,1,0,2,1,0,0,4,6
"Polyamine-Biosynthesis",2,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Other-biosynthesis",0,0,1,0,0,0,0,0,0,0,0,0,0,2,3
"Nucleotide-Biosynthesis",3,0,0,0,1,0,0,0,0,0,0,0,0,0,12
"Metabolic-Regulators",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lipid-Biosynthesis",2,1,1,1,1,0,1,0,0,0,0,1,0,0,16
"HORMONE-SYN",1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"Cofactor-Biosynthesis",7,7,2,2,1,0,0,1,1,7,10,0,0,4,28
"Cell-Structure-Biosynthesis",2,1,0,0,0,1,0,0,0,0,1,0,0,0,5
"Carbohydrates-Biosynthesis",0,1,0,1,0,1,0,1,0,2,1,0,0,4,8
"Aminoacyl-tRNAs-Charging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Amino-Acid-Biosynthesis",2,1,0,0,0,0,0,1,0,2,1,0,0,5,35
"AROMATIC-COMPOUNDS-BIOSYN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Interconversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inactivation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
