,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
AA1,0,6.1,0.3,2.7
AA2,0.6,0,0.1,0
AA3,0.2,3.7,0.2,0
AA6,0,1.8,0.4,0
AA7,0,0,0.1,0
CE1,0,0.3,0.1,0.1
CE4,0,1.2,0.9,1.4
CE5,0,0,0.3,0
CE7,0,0,0.1,0
CE8,0,0.3,0,0
CE9,0.1,0,0.3,0.2
CE10,0.1,0.3,0.2,0.5
CE11,5.7,1.6,0.4,0.6
CE12,0,0.1,0,0
CE14,1.4,0,0.1,0.2
CE15,0,0.1,0.1,0
GH1,0,0.4,0.5,0
GH2,0.1,1.5,1.6,0.1
GH3,2.9,2.3,1.8,0.2
GH4,0.1,0.5,0.8,0
GH5,0,0.3,0,0.2
GH5_1,0,0,0,0
GH5_2,0,0.1,0,0
GH5_5,0,0.5,0.1,0
GH5_19,0,0,0,0.1
GH5_25,0,0.1,0.1,0
GH6,0,0,0,0
GH8,0,0,0,0
GH9,0,0.3,0.1,0
GH10,0,0.1,0,0
GH11,0,0.1,0,0
GH13,0.6,19.5,3.3,4.3
GH15,0,0.4,3.2,1.3
GH16,0,0.2,1.1,0.8
GH17,23.6,0,0.1,0
GH18,0.3,0.2,2.8,14
GH19,0,0.5,0,0
GH20,0.1,0.3,0.4,0
GH23,5.9,5,2.2,1.4
GH24,0,0,0.1,0
GH25,0,0,0,0
GH26,0,0,0.7,1.8
GH27,0,0.1,0.2,0
GH28,0,0.2,0.1,0
GH29,0,0.6,0.6,0
GH30,0,0.2,0,0
GH31,0,0.3,0.8,0.1
GH32,0,0.1,0.1,0
GH33,0,1.5,0.2,0.1
GH35,0,0,0,0
GH36,0,0,0.3,0
GH37,0,1.4,0,0
GH38,0,0.2,1.2,0.1
GH39,0,0.9,0,0.4
GH42,0,0.2,0,0
GH43,0.2,1.5,0.1,0
GH47,0,0.1,0,0
GH51,0,0.4,0.4,0
GH53,0,0.1,0,0
GH55,0,0,0.1,0
GH57,13.9,0.4,5.7,2.2
GH62,0,0.1,0,0
GH63,0,0,0.1,0
GH65,0,0.2,1.5,0.5
GH67,0,0,0.1,0
GH68,0,0,0.2,0
GH72,0.6,0.1,0.1,0.2
GH73,0.6,0.8,0.2,0.5
GH76,0,0,0,0
GH77,0,3.6,0.7,1.9
GH78,0.1,1.4,0.6,0.2
GH88,0,0.2,0,0.2
GH89,0,0.1,0,0
GH92,0,1.2,0.2,0
GH93,0,0,0,0
GH94,0,0.2,0.7,0
GH95,0,0.1,0.3,0
GH97,0,0.8,0.6,0
GH99,0,0,0,0
GH102,4.5,0,0.3,0.6
GH103,0.1,3.9,0.2,0.4
GH104,0,0,0,0.2
GH105,0,0.1,0.1,0
GH106,0,0.2,0.1,0
GH108,0,0,0,0
GH109,0.1,0.5,0.6,0
GH113,0,0,0.2,0
GH115,0,0.1,0,0
GH116,0,0,0.2,0
GH117,0,0,0,0
GH125,0,0.1,0.1,0
GH127,0,0.3,0.5,0
GH130,0,0.4,1.7,2.3
GT1,0,0.9,0.2,0.5
GT2,1.8,0.9,9.7,3.3
GT3,0.1,0.2,0.4,1.8
GT4,0.5,1,20.2,7.5
GT5,2,1,2.3,2.4
GT8,0,0,0,0
GT9,5.5,2.7,0.2,1.4
GT11,0,0,0.1,0
GT19,4.1,1.4,0.5,1
GT20,0.1,1.7,2,1.8
GT21,0,0,0,0
GT26,0,0.7,1.3,0.8
GT27,0,0,0.2,0
GT28,2.2,1.3,1.9,1.2
GT29,0,0,0,0
GT30,2.5,1.2,0,0.8
GT32,2,0,0,0
GT35,5.9,4.2,5.2,12.1
GT41,0.1,0,1.2,0
GT47,1.1,0.3,0.3,0.6
GT51,7.4,5.7,4.3,3.4
GT66,0.5,0.1,4.9,2.6
GT74,0,0,0,0
GT76,0,0,0,0
GT80,0,0,0,0
GT81,0,0.1,0.6,0.4
GT82,1.9,0,0,0.1
GT83,0,0.3,0,0.8
GT84,0,5.9,3,17.4
PL9,0,0,0,0.1
PL10,0,0.1,0,0
PL11,0,0,0,0
PL12,0,0.1,0,0
