FAMILY ID,CO_Func,CA_Func,CB_Func,CR_Func,NO_Func,NA_Func,NB_Func,NR_Func,Mining1_Func
1,4,1,1,0,0,1,0,1,2
2,2,0,1,0,0,1,0,1,1
3,6,9,3,0,0,1,0,3,5
5,1,2,2,0,0,2,0,0,4
9,1,0,1,0,0,0,0,0,0
10,1,2,0,0,0,0,0,1,0
13,0,1,0,0,0,0,0,0,0
16,0,1,0,0,0,1,0,1,4
20,0,0,0,0,0,0,0,1,1
25,0,0,0,0,0,1,0,0,0
27,0,0,0,0,0,0,0,0,1
29,1,0,0,0,0,0,0,0,1
30,0,1,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,2,0
35,1,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0
39,1,1,0,0,0,0,0,0,0
43,0,0,0,0,0,1,0,0,0
51,1,1,0,0,0,1,0,0,0
55,0,1,0,0,0,0,0,0,0
67,1,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,1,0,0
