	BeaverFilter	Dog	Horse	MGAfricanElephant	MGArmadillo	MGBaboonSTL	MGBigHornSheepW	MGBlackBear	MGBlackLemur	MGBlackRhino	MGBushDog	MGCallimicos	MGCapybaraFiltered	MGChimp1	MGColobus	MGEchidna	MGGazelle	MGGiraffe	MGGorilla	MGHorse	MGHyena	MGHyraxStl	MGKangaroo	MGLemur	MGLion2	MGOkapi	MGOrangutan	MGPolarBear	MGRabbit	MGSaki	MGSpecBear	MGSpringbok	MGSquirrelFiltered	MGUrial	MGVWPig	MGZebra	PandaW5	Reindeer	Wallaby
AA1	0.040207214	0	0	0	0.005248793	0	0	0.13790533	0	0	0	0	0.006781316	0	0	0.052153012	0	0	0	0	0.010784927	0	0	0	0.128578636	0	0	0.184428051	0	0.00981518	0.037544584	0	0	0	0	0	0.012847966	0	0
AA3	0.045665809	0	0	0	0	0	0.011549745	0.081997764	0	0	0	0	0	0	0	0.011337611	0	0	0	0	0.006470956	0	0	0	0.056965219	0.024538673	0	0.15554173	0	0	0.018772292	0	0	0	0	0	0	0.000163111	0
AA4	0.000665682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA5	0.006923096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008721944	0	0	0	0	0	0	0
AA6	0.006656823	0	0	0	0	0	0	0.009317928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016275777	0	0	0.066660741	0	0	0	0	0	0	0	0	0	0	0
AA7	0.003328412	0	0	0	0	0	0	0.007454342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004444049	0	0	0	0	0	0	0	0	0.025695931	0	0.002681828
AA10	0.001863911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011337611	0	0	0	0	0	0	0	0	0	0	0	0.044440494	0	0	0	0	0	0	0	0	0	0	0
CE1	0.082677747	0.128609844	0	0.011247118	0.015746378	0.010698334	0.099327805	0.027953783	0.043463143	0.058247479	0.01192805	0.027325723	0.04611295	0.020663054	0.043710115	0.034012834	0.02610171	0.072237853	0	0.040959718	0.025883825	0.023504274	0.033697264	0.097915792	0.066730685	0.029446408	0.005886855	0.057772642	0.065603346	0.112874572	0.048807959	0.07268287	0.107671602	0.012178785	0.077260388	0.050881954	0.042826552	0.182521637	0.134091397
CE2	0.025295929	0.006176802	0	0	0	0.018722084	0.009239796	0	0.113004172	0.007280935	0	0.003036191	0.00406879	0	0.01529854	0	0.010875712	0	0	0	0	0.004273504	0	0.025644612	0.013020621	0	0	0	0.004100209	0.010796698	0	0.008721944	0.016823688	0	0.018793067	0	0	0.010765351	0.016090968
CE3	0.000133136	0	0	0	0	0	0	0	0	0.003640467	0	0	0	0.00459179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004100209	0	0	0	0	0	0	0	0	0.001468002	0
