name,radius,fillKey,latitude,longitude,mbs
4477803.3,10,soil,-77.73,162.31,595.2
4477804.3,10,soil,-96.6,39.1,534.9
4477805.3,10,soil,34.9,-115.65,589.9
4477807.3,10,soil,-71.23,-12.63,920.7
4477874.3,10,soil,68.63,-149.58,601.2
4477875.3,10,soil,-54.68,-26.73,523.5
4477876.3,10,soil,64.8,-148.25,654.4
4477877.3,10,soil,-81.67,34.62,640.3
4477899.3,10,soil,-79.08,35.97,389
4477900.3,10,soil,-78.03,163.87,794.7
4477902.3,10,soil,-77.61,163.25,944.7
4477903.3,10,soil,-77.64,162.89,654.4
4477904.3,10,soil,-77.53,161.7,1086.4
4481963.3,10,sediment,45.14,106.77,6271.9
4508941.3,10,soil,-84.92,39.75,1997.2
4508942.3,10,soil,-84.92,39.8,3888.4
4510162.3,10,sediment,-88.36,28.74,27762.5
4510163.3,10,sediment,-88.36,28.73,14544.6
4510164.3,10,sediment,-88.37,28.7,18850.8
4510165.3,10,sediment,88.37,28.74,16753.9
4510166.3,10,sediment,-88.36,28.75,20590.7
4510168.3,10,sediment,-88.37,28.74,26836.9
4510169.3,10,sediment,-88.49,28.7,18327.9
4510170.3,10,sediment,-88.44,28.67,28746.3
4510171.3,10,sediment,-88.47,28.64,34766.6
4510172.3,10,sediment,-88.7,28.42,35839.6
4510173.3,10,sediment,-88.54,28.58,37220.3
4510174.3,10,sediment,-88.6,28.51,29364.3
4510175.3,10,sediment,-88.78,28.35,29777.8
4510219.3,10,soil,100.28,5.29,56396.8
4511061.3,10,soil,-117.7,33.74,11650.1
4516911.3,10,air,116.33,40,9174.8
4536379.3,10,sediment,20.59,-87.17,775.8
4536382.3,10,water,20.37,-87.33,4108.2
4536390.3,10,sediment,20.91,-88.87,1148.9
4537104.3,10,water,-156.7,71.37,2122.2
4539575.3,10,soil,-93.01,41.83,19954.9
4541646.3,10,soil,-93.2,45.4,11702.1
4550335.3,10,water,148.42,-38.17,2692.3
4554155.3,10,soil,0,0,18.4
4477872.3,10,soil,-105.93,35.38,680.5
4477873.3,10,soil,-106.73,34.33,1112.3
4440037.3,10,water,-162.33,6.39,19.8
4440039.3,10,water,-162.13,5.87,37.1
4440041.3,10,water,157.48,1.99,23.7
4440212.3,10,water,5.22,60.27,47.3
4440275.3,10,water,64.47,60.27,59.3
4440276.3,10,water,-5.22,60.27,68.2
4440438.3,10,water,-117.11,32.6,34.8
4440984.3,10,sediment,138.88,35.55,17.9
4441020.3,10,sediment,139.31,35.79,27.3
4441021.3,10,sediment,139.49,35.94,30
4441022.3,10,sediment,139.65,36.17,28.9
4441062.3,10,water,-158.03,22.75,11.8
4441091.3,10,soil,93.66,43.96,154.5
4443317.3,10,water,70.41,20.11,57.5
4443682.3,10,water,78.18,68.4,284.1
4443683.3,10,water,78.18,-68.4,101.3
4443685.3,10,water,78.3,-68.43,28.4
4443686.3,10,water,-66.27,110.53,101.6
4443687.3,10,water,-63.89,112.07,95.7
4443695.3,10,water,7.52,-167,18.3
4443697.3,10,water,-163.67,1.67,68.1
4443699.3,10,water,-161.97,5.08,64.8
4443700.3,10,water,-161.08,8.63,14.3
4443701.3,10,water,-159.88,13.48,51.9
4443734.3,10,water,-31.96,15.04,15.8
4443765.3,10,water,-117.25,32.87,38
4443766.3,10,water,-170,16,43.6
4443776.3,10,water,70.8,20.1,80
