,CG13u_454,CG19u_454,CG8u_454,PWCG7u_454
AA1,0,15,129,568
AA2,20,3,0,4
AA3,6,10,0,341
AA6,0,24,2,165
AA7,0,5,0,0
CE1,0,7,3,30
CE4,0,48,69,115
CE5,0,15,0,0
CE7,0,5,0,0
CE8,0,2,0,24
CE9,5,16,11,4
CE10,4,9,23,31
CE11,201,20,30,150
CE12,0,2,0,12
CE14,50,5,8,1
CE15,0,5,0,5
GH1,0,29,0,33
GH2,5,87,5,144
GH3,103,99,10,213
GH4,5,45,2,45
GH5,0,0,8,24
GH5_1,0,0,0,2
GH5_2,0,1,0,5
GH5_5,0,3,0,50
GH5_19,0,2,6,0
GH5_25,0,5,0,9
GH6,0,0,0,3
GH8,0,0,0,4
GH9,0,5,0,25
GH10,0,0,0,6
GH11,0,0,0,5
GH13,22,177,209,1815
GH15,0,174,64,41
GH16,1,57,38,14
GH17,824,5,0,0
GH18,10,149,674,20
GH19,0,2,0,45
GH20,5,22,0,27
GH23,207,121,70,462
GH24,0,5,0,0
GH25,0,0,0,1
GH26,0,37,88,3
GH27,0,10,0,5
GH28,0,5,0,20
GH29,0,32,0,59
GH30,0,0,0,15
GH31,0,45,6,32
GH32,0,4,0,10
GH33,0,13,3,142
GH35,0,1,0,0
GH36,0,17,0,3
GH37,0,0,0,130
GH38,1,67,5,22
GH39,0,0,20,81
GH42,0,0,0,19
GH43,6,5,0,139
GH47,0,1,0,7
GH51,0,20,0,35
GH53,0,0,0,5
GH55,0,6,2,0
GH57,485,307,107,36
GH62,0,0,0,5
GH63,0,5,1,0
GH65,0,79,24,15
GH67,0,5,0,0
GH68,0,10,0,0
GH72,21,3,8,13
GH73,21,11,23,70
GH76,0,0,0,2
GH77,0,37,94,337
GH78,4,31,9,135
GH88,0,0,10,15
GH89,0,2,0,6
GH92,0,11,0,108
GH93,0,0,2,4
GH94,0,36,0,22
GH95,0,15,0,13
GH97,0,30,0,76
GH99,0,0,0,1
GH102,158,14,30,0
GH103,5,12,17,360
GH104,1,2,10,3
GH105,0,5,0,9
GH106,0,3,0,15
GH108,0,0,2,1
GH109,5,33,0,45
GH113,0,9,0,0
GH115,0,0,0,5
GH116,0,10,0,0
GH117,0,0,0,2
GH125,0,5,0,10
GH127,0,25,0,31
GH130,0,90,110,39
GT1,0,13,23,81
GT2,64,524,159,83
GT3,3,20,87,15
GT4,16,1093,361,96
GT5,69,127,114,94
GT8,0,1,0,0
GT9,194,13,70,250
GT11,0,5,0,0
GT19,144,26,49,135
GT20,4,106,88,154
GT21,0,1,1,0
GT26,0,73,40,66
GT27,0,10,0,0
GT28,77,103,56,124
GT29,0,2,0,0
GT30,88,2,39,111
GT32,70,0,0,0
GT35,205,284,582,388
GT41,5,64,2,3
GT47,38,17,28,24
GT51,260,235,163,534
GT66,17,264,126,6
GT74,1,0,0,0
GT76,0,2,0,0
GT80,1,0,0,4
GT81,0,33,19,5
GT82,65,0,5,0
GT83,0,1,40,30
GT84,0,163,841,554
PL9,0,2,4,0
PL10,0,0,0,5
PL11,0,2,0,0
PL12,0,0,0,8
