,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
CE1,0,2.51,0.43,0
CE4,0,2.16,0,2.6
CE5,0,0,0.43,0
CE9,0,0,0,0
CE11,7.25,3.01,0.64,0
GH1,0,0,0.21,0
GH2,0,0.03,0,0
GH3,0,2.96,0.21,0
GH4,0,0.21,0,0
GH5,0,1.08,0.43,0
GH6,1.93,0.32,1.7,0.84
GH11,0,0.13,0,0
GH13,2.42,29.82,11.28,5.36
GH15,0,0.03,3.83,1.42
GH17,34.14,0,0.21,0
GH18,1.13,0.11,16.6,38.69
GH20,0,0.13,0,0
GH23,0.81,6.73,1.7,0.42
GH24,0,0,0,0
GH26,0,0,0.21,0.59
GH29,0,0.16,0,0
GH30,0,0.05,0,0
GH31,0,0.21,0,0
GH32,0,0.05,0,0
GH33,0,0,0.64,0
GH36,0,0,0,0
GH37,0,0.63,0,0
GH38,0,0,1.91,0
GH39,0,0.26,0,0
GH42,0,0,0,0
GH43,2.25,0.66,0,0
GH51,0,0.29,1.06,0
GH53,0,0,0,0
GH55,0,0,0.21,0
GH57,0,0,3.83,0.25
GH68,0,0,0.85,0
GH73,0.16,0.37,0,0
GH76,0,0.05,0,0
GH77,0.48,1.37,0,0.08
GH78,0,0.05,0,0
GH84,0,0,0,0
GH92,0,1,0.43,0
GH94,0,2.3,0.85,6.28
GH97,0,0.45,0,0
GH102,0,0,0,0.67
GH103,0.81,2.53,0.21,0.08
GH108,0,0,0,0
GH109,0.81,1,1.28,0
GT1,0,0.13,0,0.75
GT2,36.55,4.83,11.7,3.6
GT3,0.16,0,0.64,2.35
GT4,0,6.2,20.43,11.64
GT5,0,0.42,0.21,0
GT9,3.22,5.41,0,0.17
GT19,1.45,1.64,0,0
GT20,0.16,0.21,1.49,0
GT26,0,0.29,0,0.17
GT28,0,2.66,0.21,0.08
GT30,0,1.95,0,0
GT35,0.97,4.04,10.64,7.87
GT51,3.38,8.65,1.06,6.28
GT66,0,0.05,2.98,1.68
GT81,0,0.03,0.43,0.08
GT83,1.45,0.08,0,0
GT84,0,2.72,0.85,7.96
LDA1xp,0,0,0.21,0
LDA2xp,0,0,0,0.08
LDA6xp,0,0.03,0,0
LO1xp,0,0,0,0
LO2xp,0.48,0,0,0
