,CG19u_454,CG8u_454,CG13u_454,PWCG7u_454
CE1,1.2,0,0,2.49
CE4,0.6,0,5.67,4.93
CE9,0,1.72,0,2.17
CE11,0,0,0,0
GH1,0.6,0,0,0
GH3,0,0,0,2.06
GH4,0,0,0,0.32
GH5,0,0,0,1.73
GH6,0.6,0.19,0,0.05
GH13,4.19,0.38,3.24,33.73
GH15,6.59,1.53,0,0
GH17,0,0,36.84,0
GH18,36.53,64.05,0,0
GH20,0,0,0,0.27
GH23,0.6,0,0.81,6.98
GH24,0,0,0,0
GH31,0,0,0,0.22
GH37,0,0,0,1.03
GH39,0,0,0,0.43
GH42,0,0,0,0
GH43,0,0,4.05,0.81
GH53,0,0,0,0
GH57,4.19,0.19,0,0
GH68,2.4,0,0,0
GH73,0,0,0,0.6
GH77,0,0,1.21,0.97
GH84,0,0,0,0
GH92,0,0,0,0.87
GH94,0,3.63,0,0.54
GH102,0,0.38,0,0
GH103,0.6,0,2.02,2.6
GH108,0,0,0,0
GH109,2.99,0,2.02,1.62
GT1,0,1.53,0,0.27
GT2,4.79,2.1,37.65,7.42
GT3,1.8,1.34,0.4,0
GT4,15.57,8.22,0,5.79
GT5,0.6,0,0,0.49
GT9,0,0.19,0.4,4.33
GT19,0,0,0.4,1.03
GT20,1.8,0,0,0.11
GT26,0,0,0,0.54
GT28,0,0,0,4.66
GT30,0,0,0,0.54
GT35,4.79,4.4,1.21,3.84
GT51,0.6,3.06,2.83,5.9
GT66,8.38,2.49,0,0.05
GT83,0,0,0.81,0
GT84,0,4.4,0,0.54
LDA1xp,0.6,0,0,0
LDA2xp,0,0.19,0,0
LDA6xp,0,0,0,0.05
LO1xp,0,0,0,0
LO2xp,0,0,0.4,0
