,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
CE1,0.00,1.91,0.35,0.06
CE4,1.17,1.67,1.49,2.61
CE5,0.00,0.00,0.16,0.00
CE7,0.00,0.00,0.07,0.00
CE8,0.00,0.17,0.00,0.00
CE9,0.11,0.05,0.32,0.25
CE10,0.07,0.33,0.10,0.35
CE11,4.40,1.24,0.26,0.42
CE12,0.00,0.07,0.06,0.00
CE14,0.90,0.00,0.13,0.14
CE15,0.00,0.04,0.07,0.00
GH1,0.00,0.49,0.45,0.07
GH2,0.11,1.41,1.59,0.11
GH3,2.80,2.45,2.02,0.14
GH4,0.11,0.34,0.77,0.07
GH5,0.00,1.86,0.28,0.31
GH6,0.81,0.26,0.44,0.59
GH9,0.00,0.16,0.04,0.00
GH10,0.05,0.04,0.03,0.00
GH11,0.00,0.04,0.00,0.00
GH13,1.08,20.24,4.54,5.41
GH15,0.00,0.34,2.42,0.76
GH16,0.09,0.06,0.26,0.45
GH17,9.63,0.00,0.04,0.00
GH18,0.47,0.36,2.42,10.74
GH19,0.00,0.22,0.00,0.00
GH20,0.11,0.19,0.31,0.00
GH23,7.71,6.34,3.37,3.82
GH24,0.00,0.00,0.07,0.00
GH26,0.00,0.05,0.26,0.99
GH27,0.00,0.04,0.13,0.00
GH28,0.00,0.13,0.07,0.00
GH29,0.00,0.56,0.47,0.00
GH30,0.00,0.12,0.00,0.00
GH31,0.00,0.30,0.67,0.13
GH32,0.00,0.09,0.03,0.00
GH33,0.00,0.04,0.18,0.00
GH35,0.00,0.00,0.01,0.00
GH36,0.00,0.02,0.26,0.00
GH37,0.00,0.95,0.00,0.00
GH38,0.02,0.17,0.95,0.08
GH39,0.00,0.20,0.01,0.07
GH42,0.02,0.17,0.01,0.00
GH43,0.43,1.26,0.10,0.00
GH47,0.00,0.06,0.03,0.00
GH51,0.00,0.29,0.32,0.00
GH53,0.00,0.04,0.00,0.00
GH55,0.05,0.00,0.09,0.07
GH57,11.50,0.19,3.39,1.48
GH59,0.00,0.00,0.00,0.01
GH62,0.00,0.04,0.00,0.00
GH63,0.00,0.00,0.07,0.03
GH65,0.00,0.12,1.11,0.34
GH66,0.00,0.00,0.06,0.00
GH67,0.00,0.00,0.07,0.00
GH68,0.00,0.00,0.15,0.00
GH71,0.00,0.02,0.00,0.00
GH73,0.97,1.42,0.22,0.28
GH74,0.07,0.07,0.07,0.06
GH76,0.00,0.02,0.00,0.00
GH77,0.11,1.98,0.41,1.03
GH78,0.00,0.80,0.51,0.00
GH84,0.00,0.00,0.00,0.00
GH87,0.02,0.00,0.00,0.04
GH88,0.00,0.12,0.00,0.11
GH92,0.00,0.86,0.15,0.00
GH93,0.00,0.05,0.01,0.06
GH94,0.00,2.36,1.71,5.37
GH95,0.00,0.12,0.20,0.00
GH97,0.00,0.54,0.44,0.00
GH102,2.96,0.00,0.18,0.49
GH103,0.11,2.62,0.15,0.24
GH105,0.00,0.06,0.09,0.00
GH106,0.00,0.12,0.03,0.00
GH108,0.00,0.01,0.00,0.03
GH109,0.11,0.37,0.39,0.00
GH113,0.00,0.00,0.07,0.00
GH115,0.00,0.04,0.00,0.00
GH116,0.00,0.01,0.12,0.00
GH117,0.00,0.01,0.00,0.00
GT1,0.00,0.56,0.25,0.41
GT2,14.71,7.05,15.71,13.49
GT3,0.02,0.12,0.25,1.55
GT4,3.14,11.93,23.72,16.02
GT8,0.00,0.00,0.01,0.07
GT9,4.56,2.26,0.28,1.70
GT11,0.00,0.00,0.07,0.00
GT19,2.98,1.21,0.37,0.69
GT20,0.02,1.15,1.61,1.17
GT21,0.00,0.00,0.07,0.00
GT26,0.00,0.32,1.30,0.88
GT27,0.00,0.00,0.15,0.00
GT28,1.80,1.34,2.42,2.02
GT30,1.85,0.87,0.01,0.45
GT32,1.58,0.00,0.01,0.00
GT35,5.57,3.47,4.26,8.12
GT41,0.14,0.00,0.55,0.01
GT5,1.74,0.84,1.84,1.72
GT51,7.44,6.02,5.81,6.16
GT55,0.00,0.00,0.03,0.00
GT66,0.38,0.06,2.72,1.38
GT81,0.18,0.40,0.42,0.08
GT82,0.29,0.00,0.00,0.01
GT83,0.34,0.25,0.00,0.48
GT84,0.00,2.40,1.18,5.65
PL1,0.00,0.02,0.00,0.00
PL8,0.02,0.00,0.00,0.00
PL9,0.00,0.00,0.01,0.06
PL10,0.00,0.04,0.00,0.00
PL11,0.00,0.00,0.01,0.00
PL12,0.00,0.03,0.01,0.00
LDA1xp,0.00,0.01,0.12,0.00
LDA2xp,0.00,0.00,0.00,0.01
LDA6xp,0.00,0.01,0.00,0.00
LDA7xp,0.00,0.40,0.00,0.00
LO1xp,0.00,0.01,0.00,0.00
LO2xp,6.43,1.15,0.77,0.07
LO3xp,0.79,1.31,0.70,0.51
ESTxp,0.00,0.03,0.00,0.00
