,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
AA1,0,0.061,0.003,0.027
AA2,0.006,0,0.001,0
AA3,0.002,0.037,0.002,0
AA6,0,0.018,0.004,0
AA7,0,0,0.001,0
CE1,0,0.003,0.001,0.001
CE4,0,0.012,0.009,0.014
CE5,0,0,0.003,0
CE7,0,0,0.001,0
CE8,0,0.003,0,0
CE9,0.001,0,0.003,0.002
CE10,0.001,0.003,0.002,0.005
CE11,0.057,0.016,0.004,0.006
CE12,0,0.001,0,0
CE14,0.014,0,0.001,0.002
CE15,0,0.001,0.001,0
GH1,0,0.004,0.005,0
GH2,0.001,0.015,0.016,0.001
GH3,0.029,0.023,0.018,0.002
GH4,0.001,0.005,0.008,0
GH5,0,0.003,0,0.002
GH5_1,0,0,0,0
GH5_2,0,0.001,0,0
GH5_5,0,0.005,0.001,0
GH5_19,0,0,0,0.001
GH5_25,0,0.001,0.001,0
GH6,0,0,0,0
GH8,0,0,0,0
GH9,0,0.003,0.001,0
GH10,0,0.001,0,0
GH11,0,0.001,0,0
GH13,0.006,0.195,0.033,0.043
GH15,0,0.004,0.032,0.013
GH16,0,0.002,0.011,0.008
GH17,0.236,0,0.001,0
GH18,0.003,0.002,0.028,0.14
GH19,0,0.005,0,0
GH20,0.001,0.003,0.004,0
GH23,0.059,0.05,0.022,0.014
GH24,0,0,0.001,0
GH25,0,0,0,0
GH26,0,0,0.007,0.018
GH27,0,0.001,0.002,0
GH28,0,0.002,0.001,0
GH29,0,0.006,0.006,0
GH30,0,0.002,0,0
GH31,0,0.003,0.008,0.001
GH32,0,0.001,0.001,0
GH33,0,0.015,0.002,0.001
GH35,0,0,0,0
GH36,0,0,0.003,0
GH37,0,0.014,0,0
GH38,0,0.002,0.012,0.001
GH39,0,0.009,0,0.004
GH42,0,0.002,0,0
GH43,0.002,0.015,0.001,0
GH47,0,0.001,0,0
GH51,0,0.004,0.004,0
GH53,0,0.001,0,0
GH55,0,0,0.001,0
GH57,0.139,0.004,0.057,0.022
GH62,0,0.001,0,0
GH63,0,0,0.001,0
GH65,0,0.002,0.015,0.005
GH67,0,0,0.001,0
GH68,0,0,0.002,0
GH72,0.006,0.001,0.001,0.002
GH73,0.006,0.008,0.002,0.005
GH76,0,0,0,0
GH77,0,0.036,0.007,0.019
GH78,0.001,0.014,0.006,0.002
GH88,0,0.002,0,0.002
GH89,0,0.001,0,0
GH92,0,0.012,0.002,0
GH93,0,0,0,0
GH94,0,0.002,0.007,0
GH95,0,0.001,0.003,0
GH97,0,0.008,0.006,0
GH99,0,0,0,0
GH102,0.045,0,0.003,0.006
GH103,0.001,0.039,0.002,0.004
GH104,0,0,0,0.002
GH105,0,0.001,0.001,0
GH106,0,0.002,0.001,0
GH108,0,0,0,0
GH109,0.001,0.005,0.006,0
GH113,0,0,0.002,0
GH115,0,0.001,0,0
GH116,0,0,0.002,0
GH117,0,0,0,0
GH125,0,0.001,0.001,0
GH127,0,0.003,0.005,0
GH130,0,0.004,0.017,0.023
GT1,0,0.009,0.002,0.005
GT2,0.018,0.009,0.097,0.033
GT3,0.001,0.002,0.004,0.018
GT4,0.005,0.01,0.202,0.075
GT5,0.02,0.01,0.023,0.024
GT8,0,0,0,0
GT9,0.055,0.027,0.002,0.014
GT11,0,0,0.001,0
GT19,0.041,0.014,0.005,0.01
GT20,0.001,0.017,0.02,0.018
GT21,0,0,0,0
GT26,0,0.007,0.013,0.008
GT27,0,0,0.002,0
GT28,0.022,0.013,0.019,0.012
GT29,0,0,0,0
GT30,0.025,0.012,0,0.008
GT32,0.02,0,0,0
GT35,0.059,0.042,0.052,0.121
GT41,0.001,0,0.012,0
GT47,0.011,0.003,0.003,0.006
GT51,0.074,0.057,0.043,0.034
GT66,0.005,0.001,0.049,0.026
GT74,0,0,0,0
GT76,0,0,0,0
GT80,0,0,0,0
GT81,0,0.001,0.006,0.004
GT82,0.019,0,0,0.001
GT83,0,0.003,0,0.008
GT84,0,0.059,0.03,0.174
PL9,0,0,0,0.001
PL10,0,0.001,0,0
PL11,0,0,0,0
PL12,0,0.001,0,0
