-,N1Bt,N2Bt,C2Bt,C1Bt,N3Bt,N2AB,C3Ae,C1AB,C2AB,N2Ae,N1AB,N3AB,C3AB,N1Ae,N3Ae,C2Ae,C1Ae,C2O,C1O,C3O,N1Ahe,C3Bt,N1O,N2O,N3O,N2Ahe
Rhizobiales,6.574630946,6.268861454,6.299212598,3.856410256,3.863071333,6.073258683,7.461406518,5.068277311,5.52832244,6.500359799,7.076780759,6.656214367,6.326831667,7.579626394,7.918521516,7.496012759,8.64310846,5.891719745,5.947100378,6.661891117,6.130268199,8.900687071,8.470953954,7.76783136,9.065071055,8.952273369
Rhodospirillales,1.230180426,1.46776406,1.543924656,1.456410256,1.051826353,2.087682672,2.744425386,2.048319328,2.04248366,3.19021348,3.021893309,1.838654504,3.130634322,3.279129149,3.574801025,2.276352037,2.279333027,1.486199575,3.515689174,2.865329513,3.72194855,4.544034978,3.885758694,4.331504476,4.338070307,4.37729455
Other Alphaproteobacteria,0.423728814,0.521262003,0.44773815,0.307692308,0.248613502,0.417536534,0.443110349,0.24947479,0.381263617,0.551691053,0.277520814,0.242303307,0.376987379,0.497244994,0.39120464,1.217920835,2.294630564,1.928520878,3.877115163,5.068051576,0.492610837,0.858838226,1.321157956,1.386081432,1.181750187,1.46851172
Burkholderiales,2.979770366,2.770919067,1.096186506,1.907692308,2.25664563,2.960713608,1.729559748,1.641281513,1.86546841,2.734468698,2.466851681,2.651083238,2.524176365,2.48622497,3.345474167,2.479338843,4.910509408,2.618542109,4.107113521,5.014326648,2.052545156,3.95065584,1.534874684,2.887669651,3.171278983,4.29257272
Nitrosomonadales,1.790595954,2.030178326,1.389532191,2.092307692,1.625549818,2.808882141,1.629502573,2.113970588,2.382897603,2.99832094,2.312673451,2.964652223,2.770037699,2.889396586,3.143126939,2.740321879,1.468563561,1.6985138,1.478560867,2.274355301,3.229337712,4.122423485,3.458325238,2.497834248,3.515332835,3.770121435
SC-I-84,1.84527064,2.455418381,1.760074108,2.523076923,1.529929241,2.182577339,1.600914808,1.418067227,1.892701525,2.758455265,1.680542707,2.023945268,1.425995738,1.397661605,3.035208418,1.66739162,1.208505431,0.690021231,0.394282898,0.949140401,0.821018062,1.65521549,0.174859141,0.606410627,2.079281975,1.92036148
Other Betaproteobacteria,1.421541826,1.34430727,0.478616644,0.574358974,1.300439855,1.34750427,0.557461407,0.879726891,0.994008715,1.415207484,1.23342584,1.425313569,1.19652516,0.940733772,1.497369486,0.942438741,0.58130641,0.566171267,0.542138985,0.734240688,0.602079912,0.702685821,0.233145522,0.404273751,1.062079282,0.90369952
Desulfuromonadales,2.925095681,2.770919067,1.389532191,1.723076923,2.065404475,1.802998671,0.200114351,0.433298319,0.272331155,3.286159751,2.528522973,3.320980616,0.147516801,1.626125521,1.40294078,0.260983036,0,0,0,0,0.301039956,0.109306683,0,0,1.376215408,0.25416549
GR-WP33-30,2.050300711,1.82441701,1.48216767,1.005128205,2.084528591,2.258493073,1.872498571,2.612920168,1.811002179,2.566562725,2.035152636,1.411060433,1.737420095,1.532052144,1.699716714,1.362911411,0.428331039,0.230007077,0.032856908,0.071633238,2.654625068,0.843222986,1.010297261,0.591972278,0.95736724,0.183563965
Myxococcales,1.74958994,1.810699588,1.235139725,3.384615385,1.568177472,2.676029607,2.201257862,0.905987395,0.626361656,2.782441833,1.588035769,1.681870011,0.852319292,1.27671012,4.087414002,1.971871828,1.254398042,1.114649682,2.119270577,2.256446991,0.738916256,2.342286071,1.437730717,2.107998845,3.440538519,3.290031065
