id,comments,views,category
Engineered,Acid Mine Drainage,2,1
Engineered,Aquatic,1,1
Engineered,Bioreactor,28,1
Engineered,Contaminated,31,1
Engineered,Soil,8,1
Engineered,Solid waste,5,1
Environmental,Air,24,2
Environmental,Aquatic,161,2
Environmental,Terrestrial,110,2
Host Associated,Birds,4,3
Host Associated,Insect Gut,15,3
Host Associated,Mammals,69,3
Host Associated,Plants,15,3
Host Associated,Porifera,8,3
Virome,Aquatic,9,4
Virome,Extreme,5,4
Virome,Host associated,5,4
Virome,Sediment,2,4
Virome,Sewage,3,4
Virome,Soil,3,4
